stock_id,stock_name,asset_type,source_industry,primary_sector,primary_sector_label,sub_sector,theme_clusters,is_financial,confidence,review_required,reason
1704,榮化,COMMON_STOCK,化學工業,CHEMICAL,化學工業,,,False,HIGH,False,
3573,穎台,COMMON_STOCK,光電業,OPTOELECTRONICS,光電（面板/觸控/光學）,,,False,HIGH,False,
2473,思源,COMMON_STOCK,半導體業,SEMICONDUCTOR,半導體,,,False,HIGH,False,
2469,力信,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,其他（待歸類）,,,False,LOW,True,力信：業務內容需人工查證
2494,廣業科,COMMON_STOCK,通信網路業,COMMUNICATION_NETWORK,通信網路,,,False,HIGH,False,
2341,英群,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,電腦及週邊設備,監控/影像設備,,False,MEDIUM,False,英群：網通/影像設備
7760,享溫馨,COMMON_STOCK,休閒娛樂,LEISURE_TOURISM,休閒觀光與娛樂,娛樂服務業,,False,HIGH,False,
3614,誠致,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,電腦及週邊設備,散熱模組,,False,MEDIUM,False,誠致：散熱/機構零件
1724,台硝,COMMON_STOCK,化學工業,CHEMICAL,化學工業,,,False,HIGH,False,
6119,大傳,COMMON_STOCK,電子工業,FACTORY_ENGINEERING,廠務工程與系統整合,廠務工程,,False,MEDIUM,False,大傳：無塵室/廠務系統工程
6781,AES-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,其他（待歸類）,,,False,LOW,True,AES-KY：業務內容需人工查證
2315,神達,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
4148,全宇生技-KY,COMMON_STOCK,化學生技醫療,BIOTECH_MEDICAL,生技醫療,,,False,LOW,True,全宇生技-KY：業務內容需人工查證
3061,璨圓,COMMON_STOCK,電子工業,OPTOELECTRONICS,光電（面板/觸控/光學）,LED磊晶,,False,MEDIUM,False,璨圓：LED磊晶片
2336,致伸,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
2456,奇力新,COMMON_STOCK,電子零組件業,PASSIVE_CONNECTOR,被動元件與連接器,,,False,HIGH,False,
2463,研揚,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
3009,奇美電,COMMON_STOCK,電子工業,OPTOELECTRONICS,光電（面板/觸控/光學）,面板（已合併退場）,,False,HIGH,False,奇美電：原奇美電子（面板廠），已與群創合併，現為集團閒置股本
3080,威力盟,COMMON_STOCK,電子工業,SEMICONDUCTOR,半導體,IC設計,,False,MEDIUM,False,威力盟：電源管理IC設計
2452,乾坤,COMMON_STOCK,電子工業,PASSIVE_CONNECTOR,被動元件與連接器,電感元件,,False,MEDIUM,False,乾坤：電感元件製造
3367,英華達,COMMON_STOCK,其他電子業,COMPUTER_PERIPHERALS,電腦及週邊設備,NB/伺服器代工,,False,HIGH,False,英華達：英業達集團旗下，NB/伺服器代工
3534,雷凌,COMMON_STOCK,電子工業,SEMICONDUCTOR,半導體,IC設計（通訊晶片）,,False,HIGH,False,雷凌：Airoha 力旺集團通訊晶片設計
3584,介面,COMMON_STOCK,光電業,OPTOELECTRONICS,光電（面板/觸控/光學）,,,False,HIGH,False,
3598,奕力,COMMON_STOCK,半導體業,SEMICONDUCTOR,半導體,,,False,HIGH,False,
5280,F-敦泰,COMMON_STOCK,電子工業,SEMICONDUCTOR,半導體,觸控/驅動IC,,False,HIGH,False,F-敦泰：觸控與顯示驅動整合IC設計
4178,永笙-KY,COMMON_STOCK,再生醫療,BIOTECH_MEDICAL,生技醫療,臨床實驗、移植技術、疾病治療,,False,HIGH,False,
4763,材料*-KY,COMMON_STOCK,化學工業,CHEMICAL,化學工業,,,False,HIGH,False,
6862,三集瑞-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,其他（待歸類）,,,False,LOW,True,三集瑞-KY：業務內容需人工查證
6933,AMAX-KY,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
2475,華映,COMMON_STOCK,光電業,OPTOELECTRONICS,光電（面板/觸控/光學）,,,False,HIGH,False,
2499,東貝,COMMON_STOCK,光電業,OPTOELECTRONICS,光電（面板/觸控/光學）,,,False,HIGH,False,
3561,昇陽光電,COMMON_STOCK,光電業,OPTOELECTRONICS,光電（面板/觸控/光學）,,,False,HIGH,False,
3599,旺能,COMMON_STOCK,電子工業,SOLAR_ENERGY,太陽能,太陽能電池,,False,MEDIUM,False,旺能：太陽能電池片製造
5264,鎧勝-KY,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
5305,敦南,COMMON_STOCK,半導體業,SEMICONDUCTOR,半導體,,,False,HIGH,False,
7768,頌勝科技,COMMON_STOCK,半導體,SEMICONDUCTOR,半導體,生產製程及檢測設備,,False,HIGH,False,
7631,聚賢研發-創,COMMON_STOCK,平面顯示器,OPTOELECTRONICS,光電（面板/觸控/光學）,生產製程及檢測設備,,False,HIGH,False,
8112A,至上甲特,PREFERRED_STOCK,半導體,SEMICONDUCTOR,半導體,IC通路,,False,HIGH,False,
1101B,台泥乙特,PREFERRED_STOCK,水泥,CEMENT,水泥,預拌混凝土,,False,HIGH,False,
4195,基米-創,COMMON_STOCK,醫療器材,MEDICAL_DEVICE,醫療器材,醫療院所、醫療器材專賣店、藥局等通路,,False,HIGH,False,
1103,嘉泥,COMMON_STOCK,交通運輸及航運,SHIPPING_CONTAINER,海運（貨櫃／散裝）,貨櫃運輸集散及倉儲,,False,HIGH,False,
7818,溢泰實業,COMMON_STOCK,其他,DIVERSIFIED_OTHER,其他（待歸類）,其他,,False,LOW,True,溢泰實業：業務內容需人工查證
1201,味全,COMMON_STOCK,食品,FOOD,食品,冷凍、罐頭、脫水、醃漬食品,,False,HIGH,False,
1203,味王,COMMON_STOCK,食品,FOOD,食品,冷凍、罐頭、脫水、醃漬食品,,False,HIGH,False,
7803,雲象科技-創,COMMON_STOCK,人工智慧,AI,人工智慧,領域解決方案,,False,HIGH,False,
4582,聚恆-創,COMMON_STOCK,電機機械,ELECTRICAL_MACHINERY,電機機械,機電系統工程,,False,HIGH,False,
1227,佳格,COMMON_STOCK,食品,FOOD,食品,營養食品,,False,HIGH,False,
1231,聯華食,COMMON_STOCK,食品,FOOD,食品,冷凍、罐頭、脫水、醃漬食品,,False,HIGH,False,
7827,漢康-KY創,COMMON_STOCK,製藥,PHARMACEUTICAL,製藥,中、西藥製劑,,False,HIGH,False,
1236,宏亞,COMMON_STOCK,食品,FOOD,食品,乳製品,,False,HIGH,False,
1256,鮮活果汁-KY,COMMON_STOCK,食品,FOOD,食品,加工食品,,False,HIGH,False,
1312A,國喬特,PREFERRED_STOCK,石化及塑橡膠,PETROCHEMICAL,石化,塑膠製品,,False,HIGH,False,
1522A,堤維西甲特,PREFERRED_STOCK,汽車,AUTOMOTIVE,汽車與零組件,車燈,,False,HIGH,False,
8078,華寶,COMMON_STOCK,通信網路業,COMMUNICATION_NETWORK,通信網路,,,False,HIGH,False,
1710,東聯,COMMON_STOCK,紡織,TEXTILE_FIBER,紡織與人纖,石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等),,False,HIGH,False,
3519,綠能,COMMON_STOCK,半導體業,SEMICONDUCTOR,半導體,,,False,HIGH,False,
6145,勁永,COMMON_STOCK,電子通路業,ELECTRONIC_DISTRIBUTION,電子零組件通路與服務,,,False,HIGH,False,
6863,永道-KY,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,其他（待歸類）,,,False,LOW,True,永道-KY：業務內容需人工查證
6921,嘉雨思-創,COMMON_STOCK,電子工業,DIVERSIFIED_OTHER,其他（待歸類）,,,False,LOW,True,嘉雨思-創：業務內容需人工查證
2391,合勤,COMMON_STOCK,電子工業,COMPUTER_PERIPHERALS,電腦及週邊設備,連接器/線材通路,,False,MEDIUM,False,合勤：網通設備
8008,建興電,COMMON_STOCK,電腦及週邊設備業,COMPUTER_PERIPHERALS,電腦及週邊設備,,,False,HIGH,False,
8199,廣鎵,COMMON_STOCK,電子工業,OPTOELECTRONICS,光電（面板/觸控/光學）,LED磊晶,,False,MEDIUM,False,廣鎵：氮化鎵磊晶
5236,凌陽創新,COMMON_STOCK,人工智慧,AI,人工智慧,電腦視覺,,False,HIGH,False,
2002A,中鋼特,PREFERRED_STOCK,鋼鐵,STEEL,鋼鐵,鋼胚,,False,HIGH,False,
2009,第一銅,COMMON_STOCK,鋼鐵,STEEL,鋼鐵,冷熱軋鋼板捲,,False,HIGH,False,
2208,台船,COMMON_STOCK,風力發電,WIND_ENERGY,風力發電,風場營造,,False,HIGH,False,
2301,光寶科,COMMON_STOCK,雲端運算,BIG_DATA_CLOUD,大數據與雲端運算,顧問諮詢,,False,HIGH,False,
2348A,海悅甲特,PREFERRED_STOCK,其他,RETAIL_TRADE,貿易百貨與零售,建材零售/裝修,,False,MEDIUM,False,海悅甲特：同海悅（母公司特別股）
2363,矽統,COMMON_STOCK,半導體,SEMICONDUCTOR,半導體,IC設計,,False,HIGH,False,
2415,錩新,COMMON_STOCK,鋼鐵,STEEL,鋼鐵,金屬製品,,False,HIGH,False,
2421,建準,COMMON_STOCK,電機機械,ELECTRICAL_MACHINERY,電機機械,車用機械傳動設備及零配件,,False,HIGH,False,
2514,龍邦,COMMON_STOCK,建材營造,BUILDING_MATERIALS_CONSTRUCTION,建材營造,建設業,,False,HIGH,False,
2601,益航,COMMON_STOCK,貿易百貨,RETAIL_TRADE,貿易百貨與零售,零售通路,,False,HIGH,False,
2607,榮運,COMMON_STOCK,交通運輸及航運,SHIPPING_CONTAINER,海運（貨櫃／散裝）,貨櫃運輸集散及倉儲,,False,HIGH,False,
2612,中航,COMMON_STOCK,交通運輸及航運,SHIPPING_CONTAINER,海運（貨櫃／散裝）,貨櫃運輸集散及倉儲,,False,HIGH,False,
2616,山隆,COMMON_STOCK,交通運輸及航運,SHIPPING_CONTAINER,海運（貨櫃／散裝）,貨櫃運輸集散及倉儲,,False,HIGH,False,
2836A,高雄銀甲特,PREFERRED_STOCK,金融,FINANCIAL,金融,銀行,,True,HIGH,False,
2838A,聯邦銀甲特,PREFERRED_STOCK,金融,FINANCIAL,金融,銀行,,True,HIGH,False,
2856,元富證,COMMON_STOCK,金融,FINANCIAL,金融,證券期貨,,True,HIGH,False,
2881A,富邦特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2881B,富邦金乙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2881C,富邦金丙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2882A,國泰特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2882B,國泰金乙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2883B,凱基金乙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887C,新丙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887E,台新新光戊特一,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887F,台新新光戊特二,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887G,台新新光庚特一,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887H,台新新光庚特二,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887I,台新新光辛特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2887Z1,台新新光己特,COMMON_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2888A,新光金甲特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2888B,新光金乙特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
2891A,中信特,PREFERRED_STOCK,金融,FINANCIAL,金融,金融控股,,True,HIGH,False,
